accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,balanced_accuracy,log_loss,top_3_accuracy,wrong_issuer_correct_state,wrong_state_wrong_issuer,algorithm,system,result_dir,system_label,run_label,model
0.96042087432406,0.822029465330718,0.960111182950729,0.873188764537285,0.788403168490848,0.788403168490848,,,,1215,svm_cascade,flat_state,r_run,Flat state,SVM,SVM
0.939833213890156,0.597100880076685,0.932904208286418,0.674454286701039,0.572130967445251,0.572130967445251,0.354609948186479,0.968336699459248,843.0,1004,svm_cascade,flat_issuer,r_run,Flat issuer,SVM,SVM
0.926933350706886,0.540992905669701,0.918105969294111,0.624559049863369,0.520291240058339,0.520291240058339,,,1028.0,1215,svm_cascade,plain_cascade,r_run,Plain cascade,SVM,SVM
0.93875822529155,0.592547679067384,0.931916143000258,0.673584023913117,0.567515686868084,0.567515686868084,0.418807962257967,0.966903381327774,872.0,1008,svm_cascade,cascade_with_fallback,r_run,Cascade + fallback,SVM,SVM
0.975307837644146,0.893654568215735,0.975117914362647,0.982093982463334,0.84553018366061,0.84553018366061,,,,758,random_forest_cascade,flat_state,r_run,Flat state,Random Forest,Random Forest
0.946478597954264,0.689048728172564,0.943131846716829,0.767191457276326,0.664722447815509,0.664722447815509,0.370722563680832,0.975568440940778,854.0,789,random_forest_cascade,flat_issuer,r_run,Flat issuer,Random Forest,Random Forest
0.94660889960258,0.690390134381341,0.943101449869967,0.780884398805934,0.663246672539139,0.663246672539139,,,884.0,755,random_forest_cascade,plain_cascade,r_run,Plain cascade,Random Forest,Random Forest
0.948465698091081,0.698883790346638,0.944927118089219,0.789480583443867,0.67162598236136,0.67162598236136,0.675172229215767,0.968988207700827,847.0,735,random_forest_cascade,cascade_with_fallback,r_run,Cascade + fallback,Random Forest,Random Forest
0.102221643103785,0.0575411933267493,0.147012469648732,0.103194234731592,0.110863648137293,0.110863648137293,,,,27560,xgboost_cascade,flat_state,r_run,Flat state,XGBoost,XGBoost
0.0055052446413447,0.0024793444264471,0.0085013985783465,0.0053357819742317,0.0049265921894359,0.0049265921894359,13.2142409855898,0.0187960127695615,7604.0,22925,xgboost_cascade,flat_issuer,r_run,Flat issuer,XGBoost,XGBoost
0.100886051208548,0.100887255566953,0.152835101163523,0.292128280720714,0.0906386543984068,0.0906386543984068,,,59.0,27542,xgboost_cascade,plain_cascade,r_run,Plain cascade,XGBoost,XGBoost
0.0635220535539775,0.034565817145998,0.0916613924179079,0.0519505879056394,0.0545484510629709,0.0545484510629709,15.3119825890663,0.112320020848264,3978.0,24770,xgboost_cascade,cascade_with_fallback,r_run,Cascade + fallback,XGBoost,XGBoost
